Drug,Hour,Organ,Conc_umol_L,Kp
Donepezil,9.407,fat,26.21002412,171080.2988
Donepezil,9.407,brain,716.60447193,3081.7684
Donepezil,9.407,gut,549.51807149,413.6185
Donepezil,9.648,blood,1.07044656,1.0
Donepezil,9.648,lung,133.43665692,151.5305
Donepezil,9.648,liver,867.45252546,1129.0157
Donepezil,9.648,kidney,48.0197404,55.5137
Donepezil,9.648,muscle,22.62403309,20.3376
Donepezil,9.648,fat,26.43335939,171080.2988
Donepezil,9.648,brain,721.39544007,3081.7684
Donepezil,9.648,gut,538.39275103,413.6185
Donepezil,9.889,blood,1.05978518,1.0
Donepezil,9.889,lung,131.97314311,151.5305
Donepezil,9.889,liver,868.41555343,1129.0157
Donepezil,9.889,kidney,47.52579774,55.5137
Donepezil,9.889,muscle,22.52405413,20.3376
Donepezil,9.889,fat,26.65443304,171080.2988
Donepezil,9.889,brain,726.10810185,3081.7684
Donepezil,9.889,gut,527.69989439,413.6185
Donepezil,10.131,blood,1.04954555,1.0
Donepezil,10.131,lung,130.57623877,151.5305
Donepezil,10.131,liver,869.27264072,1129.0157
Donepezil,10.131,kidney,47.05240071,55.5137
Donepezil,10.131,muscle,22.42275365,20.3376
Donepezil,10.131,fat,26.8733374,171080.2988
Donepezil,10.131,brain,730.74536371,3081.7684
Donepezil,10.131,gut,517.42309353,413.6185
Donepezil,10.372,blood,1.0397076,1.0
Donepezil,10.372,lung,129.24031266,151.5305
Donepezil,10.372,liver,870.02865618,1129.0157
Donepezil,10.372,kidney,46.59800824,55.5137
Donepezil,10.372,muscle,22.32028312,20.3376
Donepezil,10.372,fat,27.09015795,171080.2988
Donepezil,10.372,brain,735.30992493,3081.7684
Donepezil,10.372,gut,507.54626053,413.6185
Donepezil,10.613,blood,1.03023983,1.0
Donepezil,10.613,lung,127.96050248,151.5305
Donepezil,10.613,liver,870.68816491,1129.0157
Donepezil,10.613,kidney,46.16129161,55.5137
Donepezil,10.613,muscle,22.21678264,20.3376
Donepezil,10.613,fat,27.30497449,171080.2988
Donepezil,10.613,brain,739.80430961,3081.7684
Donepezil,10.613,gut,498.05370722,413.6185
Donepezil,10.854,blood,1.02111712,1.0
Donepezil,10.854,lung,126.73255792,151.5305
Donepezil,10.854,liver,871.25545374,1129.0157
Donepezil,10.854,kidney,45.74106937,55.5137
Donepezil,10.854,muscle,22.11238194,20.3376
Donepezil,10.854,fat,27.51786156,171080.2988
Donepezil,10.854,brain,744.23088192,3081.7684
Donepezil,10.854,gut,488.93016853,413.6185
Donepezil,11.095,blood,1.01232656,1.0
Donepezil,11.095,lung,125.55272927,151.5305
Donepezil,11.095,liver,871.73455648,1129.0157
Donepezil,11.095,kidney,45.33627148,55.5137
Donepezil,11.095,muscle,22.00720133,20.3376
Donepezil,11.095,fat,27.72888897,171080.2988
Donepezil,11.095,brain,748.59186136,3081.7684
Donepezil,11.095,gut,480.16082421,413.6185
Donepezil,11.337,blood,1.00383435,1.0
Donepezil,11.337,lung,124.41775249,151.5305
Donepezil,11.337,liver,872.12928979,1129.0157
Donepezil,11.337,kidney,44.94598442,55.5137
Donepezil,11.337,muscle,21.90135294,20.3376
Donepezil,11.337,fat,27.93812258,171080.2988
Donepezil,11.337,brain,752.88934521,3081.7684
