Drug,Hour,Organ,Conc_umol_L,Kp
Lecanemab,12.06,kidney,8.66587507,0.8734
Lecanemab,12.06,muscle,9.09364613,0.9034
Lecanemab,12.06,fat,6.71551403,0.6662
Lecanemab,12.06,brain,7.57250521,0.7628
Lecanemab,12.06,gut,8.0995664,0.8162
Lecanemab,12.302,blood,12.32576835,1.0
Lecanemab,12.302,lung,8.326067,0.8443
Lecanemab,12.302,liver,7.78369981,0.789
Lecanemab,12.302,kidney,8.61278414,0.8734
Lecanemab,12.302,muscle,9.03793186,0.9034
Lecanemab,12.302,fat,6.67436992,0.6662
Lecanemab,12.302,brain,7.52611064,0.7628
Lecanemab,12.302,gut,8.04994297,0.8162
Lecanemab,12.543,blood,12.2502497,1.0
Lecanemab,12.543,lung,8.27506194,0.8443
Lecanemab,12.543,liver,7.73601148,0.789
Lecanemab,12.543,kidney,8.56002031,0.8734
Lecanemab,12.543,muscle,8.98255894,0.9034
Lecanemab,12.543,fat,6.6334779,0.6662
Lecanemab,12.543,brain,7.48000039,0.7628
Lecanemab,12.543,gut,8.00062387,0.8162
Lecanemab,12.784,blood,12.1751944,1.0
Lecanemab,12.784,lung,8.22436726,0.8443
Lecanemab,12.784,liver,7.68861524,0.789
Lecanemab,12.784,kidney,8.50757834,0.8734
Lecanemab,12.784,muscle,8.92752528,0.9034
Lecanemab,12.784,fat,6.59283641,0.6662
Lecanemab,12.784,brain,7.43417259,0.7628
Lecanemab,12.784,gut,7.95160671,0.8162
Lecanemab,13.025,blood,12.10060002,1.0
Lecanemab,13.025,lung,8.17397981,0.8443
Lecanemab,13.025,liver,7.64150925,0.789
Lecanemab,13.025,kidney,8.45545541,0.8734
Lecanemab,13.025,muscle,8.87282879,0.9034
Lecanemab,13.025,fat,6.55244391,0.6662
Lecanemab,13.025,brain,7.38862549,0.7628
Lecanemab,13.025,gut,7.90288951,0.8162
Lecanemab,13.266,blood,12.02646038,1.0
Lecanemab,13.266,lung,8.12390823,0.8443
Lecanemab,13.266,liver,7.59469214,0.789
Lecanemab,13.266,kidney,8.40365661,0.8734
Lecanemab,13.266,muscle,8.81846742,0.9034
Lecanemab,13.266,fat,6.5122989,0.6662
